id,time,maxMag,sampleCount,perSampleInterval,len,raw_min,raw_max
472498.7999999989-vdiw60,472498.7999999989,1576,8,8.724999999860302,32,2036,3624
472499.0999999996-hbt32i,472499.0999999996,1576,8,20,32,2036,3624
472499.19999999925-1hldrw,472499.19999999925,1576,8,20,32,2036,3624
474889-b8kk46,474889,1192,8,21.2125000001397,32,1796,3240
474889.4000000004-ktafv4,474889.4000000004,1192,8,20,32,1796,3240
474889.5999999996-4n4eek,474889.5999999996,1192,8,20,32,1796,3240
477406.69999999925-k1ciii,477406.69999999925,1336,8,24.074999999953434,32,712,2468
477407-wi9pst,477407,1336,8,20,32,712,2468
477407.0999999996-yajwmo,477407.0999999996,1336,8,20,32,712,2468
477512.4000000004-o531ed,477512.4000000004,2008,8,13.162500000093132,32,40,1568
477512.69999999925-up1kmj,477512.69999999925,2008,8,20,32,40,1568
477512.9000000004-ea9h4h,477512.9000000004,2008,8,20,32,40,1568
477575.9000000004-6pvik4,477575.9000000004,2004,8,7.875,32,44,4004
477576.0999999996-gvg3bt,477576.0999999996,2004,8,20,32,44,4004
477576.2999999989-bwkgks,477576.2999999989,2004,8,20,32,44,4004
477748.5999999996-a3s4se,477748.5999999996,1640,8,21.537500000093132,32,1888,3688
477749-9y9ulh,477749,1640,8,20,32,1888,3688
477749.0999999996-3uonjj,477749.0999999996,1640,8,20,32,1888,3688
477921.5-tx7u58,477921.5,2008,8,21.550000000046566,32,40,2232
477921.9000000004-9jonha,477921.9000000004,2008,8,20,32,40,2232
477922-ayv8j2,477922,2008,8,20,32,40,2232
478125.19999999925-9jiexe,478125.19999999925,2008,8,25.399999999906868,32,40,3728
478125.5-34d93v,478125.5,2008,8,20,32,40,3728
478125.69999999925-h8qbtb,478125.69999999925,2008,8,20,32,40,3728
478235-yodcoh,478235,1536,8,13.662500000093132,32,512,2192
478235.2999999989-arbhau,478235.2999999989,1536,8,20,32,512,2192
478235.4000000004-78vco8,478235.4000000004,1536,8,20,32,512,2192
479341.0999999996-6c28h9,479341.0999999996,1016,8,15.862500000046566,32,1032,2688
479341.2999999989-8tiebb,479341.2999999989,1016,8,20,32,1032,2688
479341.5-iigiwx,479341.5,1016,8,20,32,1032,2688
