group_id,count,example_time,sampleCount,maxMag,times_sample(<=10),raw1s_example,raw2s_example
1,2,46566.80000000005,8,2044,"46567,46567","[2864, 3888, 1768, 1608, 2076, 4092, 2092, 2988]","[2036, 2012, 2040, 2188, 2072, 1984, 2108, 2008]"
2,2,47336.60000000009,8,2044,"47337,47337","[1980, 1960, 2020, 2044, 2016, 2056, 4092, 1848]","[2036, 2048, 2040, 2048, 2332, 2260, 2108, 1960]"
3,2,47648.80000000005,8,2044,"47649,47649","[1972, 2700, 2016, 4092, 2372, 1140, 1284, 1452]","[2052, 1896, 1880, 1856, 1900, 1944, 1936, 1956]"
4,2,56974,8,1288,"56974,56974","[2448, 2432, 2252, 2168, 2100, 2040, 2040, 2060]","[3336, 3268, 2904, 2800, 2704, 2548, 2476, 2424]"
5,2,61079.80000000005,8,1000,"61080,61080","[1564, 1616, 1672, 1744, 1844, 1988, 2188, 2596]","[1316, 1384, 1480, 1600, 1776, 2068, 2472, 3048]"
6,2,65405.5,8,1052,"65406,65406","[2704, 2772, 2840, 2832, 2748, 2640, 2528, 2404]","[3080, 3100, 3080, 2964, 2768, 2556, 2336, 2072]"
7,2,67157.6000000001,8,1112,"67158,67158","[2452, 2536, 2608, 2684, 2776, 2860, 2920, 2972]","[2500, 2624, 2800, 2896, 2944, 3004, 3084, 3160]"
8,2,67284.19999999995,8,1320,"67284,67284","[3068, 3132, 3144, 3088, 2956, 2788, 2652, 2532]","[3280, 3368, 3368, 3276, 3108, 2904, 2716, 2564]"
9,2,68830.6000000001,8,1504,"68831,68831","[2028, 1912, 1740, 1524, 1276, 1268, 932, 544]","[1976, 1840, 1676, 1476, 1292, 1104, 864, 576]"
10,2,69001.3999999999,8,1948,"69001,69002","[100, 256, 364, 672, 848, 1016, 1184, 1288]","[196, 340, 468, 744, 912, 1072, 1228, 1328]"
11,2,69777,8,1892,"69777,69777","[1728, 3600, 2388, 3308, 2388, 2576, 2624, 2148]","[1868, 3940, 2472, 3284, 2376, 2588, 2608, 2168]"
12,2,70551.1000000001,8,1960,"70551,70551","[2336, 2492, 2744, 3076, 3376, 3660, 3888, 4008]","[2532, 2732, 3008, 3296, 3492, 3656, 3772, 3856]"
13,2,70678.30000000005,8,1824,"70678,70679","[3872, 3668, 3496, 3372, 3260, 3152, 3056, 2960]","[3776, 3632, 3504, 3404, 3308, 3212, 3124, 3028]"
14,2,71257.6000000001,8,2016,"71258,71258","[2084, 1720, 40, 52, 36, 44, 376, 40]","[2044, 1644, 36, 48, 32, 40, 328, 40]"
15,2,71374.1000000001,8,1972,"71374,71374","[688, 116, 696, 872, 780, 1400, 1032, 1512]","[572, 76, 592, 724, 736, 1300, 996, 1456]"
16,2,72589.69999999995,8,1060,"72590,72590","[2040, 2052, 2132, 2196, 2200, 2192, 2180, 2572]","[2128, 2108, 2060, 2032, 2040, 2052, 2084, 3108]"
17,2,72657.69999999995,8,1392,"72658,72658","[3372, 3372, 2620, 3264, 2280, 2776, 2348, 2308]","[3440, 3392, 2688, 3280, 2332, 2804, 2376, 2344]"
18,2,73072,8,1840,"73072,73072","[2000, 2088, 2064, 2488, 2944, 3412, 3820, 3856]","[2012, 2104, 2076, 2572, 3188, 3616, 3872, 3888]"
19,2,73191.69999999995,8,1752,"73192,73192","[3736, 3620, 3516, 3400, 3280, 3152, 3036, 2928]","[3800, 3700, 3612, 3488, 3312, 3164, 3044, 2928]"
20,2,73805.8999999999,8,2016,"73806,73806","[1832, 1828, 1820, 1220, 36, 48, 164, 44]","[1760, 1760, 1756, 1192, 32, 44, 160, 40]"
21,2,74033.80000000005,8,1988,"74034,74034","[700, 64, 872, 636, 884, 1324, 1016, 1588]","[656, 60, 800, 556, 864, 1248, 1028, 1532]"
22,2,75770,8,1964,"75770,75770","[2032, 2024, 2016, 2012, 2052, 4004, 3264, 3020]","[2012, 2004, 2008, 2020, 3336, 4012, 3312, 3120]"
23,2,75907.8999999999,8,1604,"75908,75908","[3648, 2316, 3328, 2116, 2620, 2408, 2112, 2528]","[3652, 2428, 3324, 2180, 2636, 2408, 2148, 2524]"
24,2,76187.6000000001,8,2008,"76188,76188","[2092, 2512, 2944, 3356, 3740, 3984, 3800, 3468]","[2064, 2448, 2956, 3420, 3808, 4056, 3904, 3632]"
25,2,76417.8999999999,8,1384,"76418,76418","[3232, 3028, 2852, 2732, 2672, 2660, 2648, 2632]","[3432, 3240, 3084, 2968, 2900, 2860, 2812, 2768]"
26,2,77385.3999999999,8,2008,"77385,77386","[1936, 1900, 1876, 1856, 1824, 76, 76, 40]","[1896, 1852, 1820, 1796, 1772, 64, 72, 40]"
27,2,77585.6000000001,8,2008,"77586,77586","[432, 40, 408, 124, 356, 852, 552, 1308]","[392, 40, 308, 84, 292, 728, 528, 1208]"
28,2,77737.19999999995,8,1124,"77737,77738","[968, 1364, 1468, 1380, 1736, 1520, 1768, 1756]","[924, 1312, 1400, 1372, 1672, 1512, 1732, 1728]"
29,2,84255.1000000001,8,1280,"84255,84255","[2476, 2668, 2828, 2932, 3024, 3084, 3016, 2824]","[2384, 2532, 2772, 3056, 3256, 3328, 3236, 2984]"
30,2,84853.30000000005,8,1584,"84853,84854","[2032, 2464, 2908, 3284, 3480, 3520, 3528, 3436]","[1908, 2372, 2908, 3400, 3596, 3632, 3576, 3436]"
31,2,84976.3999999999,8,1216,"84976,84977","[3264, 3016, 2748, 2356, 1856, 1460, 1244, 1204]","[3220, 2972, 2704, 2332, 1800, 1352, 1140, 1124]"
32,2,85645.5,8,1224,"85646,85646","[900, 824, 852, 952, 1048, 1128, 1200, 1272]","[1076, 1100, 1160, 1236, 1272, 1268, 1220, 1192]"
33,2,85931.6000000001,8,1248,"85932,85932","[1752, 1988, 2280, 2572, 2888, 3116, 3252, 3296]","[1684, 1952, 2212, 2392, 2624, 2896, 3112, 3224]"
34,2,86046.80000000005,8,1232,"86047,86047","[3280, 3216, 3056, 2836, 2592, 2352, 2112, 1820]","[3248, 3204, 3052, 2836, 2584, 2332, 2052, 1728]"
35,2,86728.30000000005,8,1236,"86728,86729","[2952, 3128, 3216, 3264, 3284, 3236, 3108, 2916]","[2728, 2960, 3124, 3228, 3256, 3204, 3072, 2880]"
36,2,86890.1000000001,8,1020,"86890,86890","[2676, 2448, 2232, 2000, 1740, 1424, 1172, 1028]","[2644, 2408, 2184, 1912, 1652, 1432, 1276, 1196]"
37,2,87019.3999999999,8,1052,"87019,87020","[996, 1036, 1120, 1216, 1312, 1396, 1476, 1548]","[1184, 1220, 1284, 1356, 1428, 1484, 1544, 1596]"
38,2,89482.8999999999,8,1084,"89483,89483","[2440, 2620, 2776, 2896, 2968, 3008, 3004, 2956]","[2352, 2528, 2732, 2920, 3060, 3132, 3132, 3044]"
