timestamp_utc,measurement_index,pair,impedance_data,e_start_timestamp,second_g_timestamp
2025-12-10T14:29:41.560+01:00,0,"1,2",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:41.575+01:00,1,"1,3",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:41.600+01:00,2,"1,4",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:41.609+01:00,3,"1,5",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:41.639+01:00,4,"1,6",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:41.649+01:00,5,"1,7",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:41.679+01:00,6,"1,8",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:41.690+01:00,7,"1,9",33089,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:41.719+01:00,8,"2,1",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:41.729+01:00,9,"2,3",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:41.760+01:00,10,"2,4",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:41.769+01:00,11,"2,5",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:41.799+01:00,12,"2,6",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:41.840+01:00,13,"2,7",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:41.850+01:00,14,"2,8",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:41.865+01:00,15,"2,9",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:41.882+01:00,16,"3,1",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:41.890+01:00,17,"3,2",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:41.919+01:00,18,"3,4",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:41.923+01:00,19,"3,5",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:41.960+01:00,20,"3,6",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:41.964+01:00,21,"3,7",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:42.000+01:00,22,"3,8",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
