timestamp_utc,measurement_index,electrode_1,electrode_2,impedance_data,impedance_data_2,difference,percentage
2025-12-11T11:46:57.966+01:00,0,1,2,101730,81008,20722,0.203696058
2025-12-11T11:46:57.984+01:00,1,1,3,103486,84176,19310,0.186595288
2025-12-11T11:46:58.005+01:00,2,1,4,245412,198181,47231,0.192455952
2025-12-11T11:46:58.015+01:00,3,1,5,188625,179935,8690,0.046070245
2025-12-11T11:46:58.045+01:00,4,1,6,192333,133251,59082,0.307185974
2025-12-11T11:46:58.056+01:00,5,1,7,153125,120845,32280,0.210808163
2025-12-11T11:46:58.084+01:00,6,1,8,76222,61422,14800,0.194169662
2025-12-11T11:46:58.097+01:00,7,1,9,66285,55250,11035,0.166478087
2025-12-11T11:46:58.125+01:00,8,2,1,101730,81008,20722,0.203696058
2025-12-11T11:46:58.136+01:00,9,2,3,93971,77138,16833,0.179129732
2025-12-11T11:46:58.164+01:00,10,2,4,230929,208755,22174,0.096020855
2025-12-11T11:46:58.176+01:00,11,2,5,179935,198181,-18246,-0.101403285
2025-12-11T11:46:58.204+01:00,12,2,6,179935,121602,58333,0.324189291
2025-12-11T11:46:58.217+01:00,13,2,7,137964,109921,28043,0.20326317
2025-12-11T11:46:58.245+01:00,14,2,8,65382,53257,12125,0.185448594
2025-12-11T11:46:58.256+01:00,15,2,9,56219,47690,8529,0.151710276
2025-12-11T11:46:58.285+01:00,16,3,1,103486,84176,19310,0.186595288
2025-12-11T11:46:58.292+01:00,17,3,2,93971,77138,16833,0.179129732
2025-12-11T11:46:58.325+01:00,18,3,4,230929,218066,12863,0.055701103
2025-12-11T11:46:58.330+01:00,19,3,5,183308,198181,-14873,-0.081136666
2025-12-11T11:46:58.365+01:00,20,3,6,173539,125519,48020,0.276710134
2025-12-11T11:46:58.370+01:00,21,3,7,137964,111817,26147,0.189520455
2025-12-11T11:46:58.405+01:00,22,3,8,68640,56219,12421,0.180958625
2025-12-11T11:46:58.410+01:00,23,3,9,60459,50588,9871,0.163267669
2025-12-11T11:46:58.446+01:00,24,4,1,245412,198181,47231,0.192455952
2025-12-11T11:46:58.451+01:00,25,4,2,230929,208755,22174,0.096020855
2025-12-11T11:46:58.485+01:00,26,4,3,230929,218066,12863,0.055701103
2025-12-11T11:46:58.491+01:00,27,4,5,418191,468071,-49880,-0.119275642
2025-12-11T11:46:58.525+01:00,28,4,6,377923,322065,55858,0.147802595
2025-12-11T11:46:58.530+01:00,29,4,7,322065,297606,24459,0.075944297
2025-12-11T11:46:58.565+01:00,30,4,8,208755,198181,10574,0.050652679
2025-12-11T11:46:58.571+01:00,31,4,9,188625,186819,1806,0.009574553
2025-12-11T11:46:58.605+01:00,32,5,1,188625,179935,8690,0.046070245
2025-12-11T11:46:58.611+01:00,33,5,2,179935,198181,-18246,-0.101403285
2025-12-11T11:46:58.645+01:00,34,5,3,183308,198181,-14873,-0.081136666
2025-12-11T11:46:58.650+01:00,35,5,4,418191,468071,-49880,-0.119275642
2025-12-11T11:46:58.686+01:00,36,5,6,322065,297606,24459,0.075944297
2025-12-11T11:46:58.691+01:00,37,5,7,272750,276788,-4038,-0.014804766
2025-12-11T11:46:58.725+01:00,38,5,8,166161,188625,-22464,-0.135194179
2025-12-11T11:46:58.730+01:00,39,5,9,148462,173539,-25077,-0.16891191
2025-12-11T11:46:58.765+01:00,40,6,1,192333,133251,59082,0.307185974
2025-12-11T11:46:58.771+01:00,41,6,2,179935,121602,58333,0.324189291
2025-12-11T11:46:58.805+01:00,42,6,3,173539,125519,48020,0.276710134
2025-12-11T11:46:58.811+01:00,43,6,4,377923,322065,55858,0.147802595
2025-12-11T11:46:58.845+01:00,44,6,5,322065,297606,24459,0.075944297
2025-12-11T11:46:58.850+01:00,45,6,7,255000,179935,75065,0.294372549
2025-12-11T11:46:58.885+01:00,46,6,8,153125,105740,47385,0.309453061
2025-12-11T11:46:58.891+01:00,47,6,9,137964,96300,41664,0.301991824
2025-12-11T11:46:58.925+01:00,48,7,1,153125,120845,32280,0.210808163
2025-12-11T11:46:58.931+01:00,49,7,2,137964,109921,28043,0.20326317
2025-12-11T11:46:58.965+01:00,50,7,3,137964,111817,26147,0.189520455
2025-12-11T11:46:58.971+01:00,51,7,4,322065,297606,24459,0.075944297
2025-12-11T11:46:59.005+01:00,52,7,5,272750,276788,-4038,-0.014804766
2025-12-11T11:46:59.021+01:00,53,7,6,255000,179935,75065,0.294372549
2025-12-11T11:46:59.046+01:00,54,7,8,111817,89628,22189,0.198440309
2025-12-11T11:46:59.063+01:00,55,7,9,100798,82388,18410,0.182642513
2025-12-11T11:46:59.086+01:00,56,8,1,76222,61422,14800,0.194169662
2025-12-11T11:46:59.107+01:00,57,8,2,65382,53257,12125,0.185448594
2025-12-11T11:46:59.131+01:00,58,8,3,68640,56219,12421,0.180958625
2025-12-11T11:46:59.148+01:00,59,8,4,208755,198181,10574,0.050652679
2025-12-11T11:46:59.172+01:00,60,8,5,166161,188625,-22464,-0.135194179
2025-12-11T11:46:59.190+01:00,61,8,6,153125,105740,47385,0.309453061
2025-12-11T11:46:59.214+01:00,62,8,7,111817,89628,22189,0.198440309
2025-12-11T11:46:59.219+01:00,63,8,9,38149,31022,7127,0.1868201
2025-12-11T11:46:59.245+01:00,64,9,1,66285,55250,11035,0.166478087
2025-12-11T11:46:59.251+01:00,65,9,2,56219,47690,8529,0.151710276
2025-12-11T11:46:59.285+01:00,66,9,3,60459,50588,9871,0.163267669
2025-12-11T11:46:59.291+01:00,67,9,4,188625,186819,1806,0.009574553
2025-12-11T11:46:59.325+01:00,68,9,5,148462,173539,-25077,-0.16891191
2025-12-11T11:46:59.331+01:00,69,9,6,137964,96300,41664,0.301991824
2025-12-11T11:46:59.365+01:00,70,9,7,100798,82388,18410,0.182642513
2025-12-11T11:46:59.371+01:00,71,9,8,38149,31022,7127,0.1868201

,,,,,,,
E Start Timestamp,2025-12-11T11:46:59.535+01:00,,,,,,
Second G Timestamp,2025-12-11T11:46:59.646+01:00,,,,,,
